Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Residential care activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of coke and refined petroleum products,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of coke and refined petroleum products,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of coke and refined petroleum products,ISIC Division,Land transport and transport via pipelines,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of coke and refined petroleum products,ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of coke and refined petroleum products,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of coke and refined petroleum products,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of other transport equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of electrical equipment,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Manufacture of other transport equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of other transport equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Land transport and transport via pipelines,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of other transport equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Wholesale and retail trade and repair of motor vehicles and motorcycles,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Manufacture of gas; distribution of gaseous fuels through mains,ISIC Group
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Manufacture of other non-metallic mineral products,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Manufacture of other transport equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other non-metallic mineral products,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other transport equipment,ISIC Division,Land transport and transport via pipelines,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other transport equipment,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other transport equipment,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other transport equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other transport equipment,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other transport equipment,ISIC Division,Manufacture of other transport equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other transport equipment,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other transport equipment,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Manufacture of other transport equipment,ISIC Division,Wholesale and retail trade and repair of motor vehicles and motorcycles,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Public administration and defence; compulsory social security,ISIC Division,Human health activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Public administration and defence; compulsory social security,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Public administration and defence; compulsory social security,ISIC Division,Residential care activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Public administration and defence; compulsory social security,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Public administration and defence; compulsory social security,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Real estate activities,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Real estate activities,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Real estate activities,ISIC Division,Human health activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Real estate activities,ISIC Division,Real estate activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Real estate activities,ISIC Division,Residential care activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Real estate activities,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Real estate activities,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Real estate activities,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of other transport equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Manufacture of other transport equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,ISIC Group,Repair of computers and personal and household goods,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Aquaculture,ISIC Group,Accommodation,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Aquaculture,ISIC Group,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Aquaculture,ISIC Group,Human health activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Aquaculture,ISIC Group,Manufacture of food products,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Aquaculture,ISIC Group,Residential care activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Aquaculture,ISIC Group,Social work activities without accommodation,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Aquaculture,ISIC Group,Veterinary activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Fishing,ISIC Group,Accommodation,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Fishing,ISIC Group,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Fishing,ISIC Group,Human health activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Fishing,ISIC Group,Manufacture of food products,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Fishing,ISIC Group,Residential care activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Fishing,ISIC Group,Social work activities without accommodation,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Fishing,ISIC Group,Veterinary activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,Manufacture of basic metals,ISIC Division,Specialized construction activities,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Civil engineering,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Construction of buildings,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of furniture,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of other transport equipment,Building of ships and boats,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Specialized construction activities,ISIC Division
