EXIOBASE,NACElevel,NACE Code,NACE Code and Level,NACE class,ISIC Class,ISIC Group,ISIC Division,ISIC Section,ISIC Unique Group code,ISIC Unique Class code
Re-processing of secondary plastic into new plastic,C,20.17,C20.17,Manufacture of synthetic rubber in primary forms,Manufacture of plastics and synthetic rubber in primary forms,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201,C_20_201_2013
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,C,24.31,C24.31,Cold drawing of bars,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,C,24.34,C24.34,Cold drawing of wire,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,C,24.33,C24.33,Cold forming or folding,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,C,24.32,C24.32,Cold rolling of narrow strip,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,C,24.1,C24.10,Manufacture of basic iron and steel and of ferro-alloys,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,C,24.2,C24.20,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Re-processing of secondary steel into new steel,C,24.31,C24.31,Cold drawing of bars,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Re-processing of secondary steel into new steel,C,24.34,C24.34,Cold drawing of wire,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Re-processing of secondary steel into new steel,C,24.33,C24.33,Cold forming or folding,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Re-processing of secondary steel into new steel,C,24.32,C24.32,Cold rolling of narrow strip,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Re-processing of secondary steel into new steel,C,24.1,C24.10,Manufacture of basic iron and steel and of ferro-alloys,Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Re-processing of secondary steel into new steel,C,24.2,C24.20,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Manufacture of basic iron and steel,Manufacture of basic iron and steel,Manufacture of basic metals,Manufacturing,C_24_241,C_24_241_2410
Aluminium production,C,24.42,C24.42,Aluminium production,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
Copper production,C,24.44,C24.44,Copper production,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
"Lead, zinc and tin production",C,24.43,C24.43,"Lead, zinc and tin production",Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
Other non-ferrous metal production,C,24.45,C24.45,Other non-ferrous metal production,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
Precious metals production,C,24.41,C24.41,Precious metals production,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
Processing of nuclear fuel,C,24.46,C24.46,Processing of nuclear fuel,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
Re-processing of secondary aluminium into new aluminium,C,24.42,C24.42,Aluminium production,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
Re-processing of secondary copper into new copper,C,24.44,C24.44,Copper production,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
"Re-processing of secondary lead into new lead, zinc and tin",C,24.43,C24.43,"Lead, zinc and tin production",Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,C,24.45,C24.45,Other non-ferrous metal production,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
Re-processing of secondary preciuos metals into new preciuos metals,C,24.41,C24.41,Precious metals production,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic precious and other non-ferrous metals,Manufacture of basic metals,Manufacturing,C_24_242,C_24_242_2420
Manufacture of electrical machinery and apparatus n.e.c. (31),C,27.2,C27.20,Manufacture of batteries and accumulators,Manufacture of batteries and accumulators,Manufacture of batteries and accumulators,Manufacture of electrical equipment,Manufacturing,C_27_272,C_27_272_2720
Manufacture of beverages,C,11.01,C11.01,"Distilling, rectifying and blending of spirits","Distilling, rectifying and blending of spirits",Manufacture of beverages,Manufacture of beverages,Manufacturing,C_11_110,C_11_110_1101
Manufacture of beverages,C,11.05,C11.05,Manufacture of beer,Manufacture of malt liquors and malt,Manufacture of beverages,Manufacture of beverages,Manufacturing,C_11_110,C_11_110_1103
Manufacture of beverages,C,11.06,C11.06,Manufacture of malt,Manufacture of malt liquors and malt,Manufacture of beverages,Manufacture of beverages,Manufacturing,C_11_110,C_11_110_1103
Manufacture of beverages,C,11.07,C11.07,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture of beverages,Manufacture of beverages,Manufacturing,C_11_110,C_11_110_1104
Manufacture of beverages,C,11.03,C11.03,Manufacture of cider and other fruit wines,Manufacture of wines,Manufacture of beverages,Manufacture of beverages,Manufacturing,C_11_110,C_11_110_1102
Manufacture of beverages,C,11.04,C11.04,Manufacture of other non-distilled fermented beverages,Manufacture of wines,Manufacture of beverages,Manufacture of beverages,Manufacturing,C_11_110,C_11_110_1102
Manufacture of beverages,C,11.02,C11.02,Manufacture of wine from grape,Manufacture of wines,Manufacture of beverages,Manufacture of beverages,Manufacturing,C_11_110,C_11_110_1102
"Manufacture of motor vehicles, trailers and semi-trailers (34)",C,29.2,C29.20,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacturing,C_29_292,C_29_292_2920
Manufacture of coke oven products,C,19.1,C19.10,Manufacture of coke oven products,Manufacture of coke oven products,Manufacture of coke oven products,Manufacture of coke and refined petroleum products,Manufacturing,C_19_191,C_19_191_1910
Manufacture of electrical machinery and apparatus n.e.c. (31),C,26.3,C26.30,Manufacture of communication equipment,Manufacture of communication equipment,Manufacture of communication equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_263,C_26_263_2630
"Manufacture of radio, television and communication equipment and apparatus (32)",C,26.3,C26.30,Manufacture of communication equipment,Manufacture of communication equipment,Manufacture of communication equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_263,C_26_263_2630
Manufacture of office machinery and computers (30),C,26.2,C26.20,Manufacture of computers and peripheral equipment,Manufacture of computers and peripheral equipment,Manufacture of computers and peripheral equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_262,C_26_262_2620
"Manufacture of radio, television and communication equipment and apparatus (32)",C,26.2,C26.20,Manufacture of computers and peripheral equipment,Manufacture of computers and peripheral equipment,Manufacture of computers and peripheral equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_262,C_26_262_2620
Manufacture of furniture; manufacturing n.e.c. (36),C,26.4,C26.40,Manufacture of consumer electronics,Manufacture of consumer electronics,Manufacture of consumer electronics,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_264,C_26_264_2640
"Manufacture of radio, television and communication equipment and apparatus (32)",C,26.4,C26.40,Manufacture of consumer electronics,Manufacture of consumer electronics,Manufacture of consumer electronics,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_264,C_26_264_2640
Processing of dairy products,C,10.52,C10.52,Manufacture of ice cream,Manufacture of dairy products,Manufacture of dairy products,Manufacture of food products,Manufacturing,C_10_105,C_10_105_1050
Processing of dairy products,C,10.51,C10.51,Operation of dairies and cheese making,Manufacture of dairy products,Manufacture of dairy products,Manufacture of food products,Manufacturing,C_10_105,C_10_105_1050
Manufacture of machinery and equipment n.e.c. (29),C,27.51,C27.51,Manufacture of electric domestic appliances,Manufacture of domestic appliances,Manufacture of domestic appliances,Manufacture of electrical equipment,Manufacturing,C_27_275,C_27_275_2750
Manufacture of machinery and equipment n.e.c. (29),C,27.52,C27.52,Manufacture of non-electric domestic appliances,Manufacture of domestic appliances,Manufacture of domestic appliances,Manufacture of electrical equipment,Manufacturing,C_27_275,C_27_275_2750
Manufacture of electrical machinery and apparatus n.e.c. (31),C,27.4,C27.40,Manufacture of electric lighting equipment,Manufacture of electric lighting equipment,Manufacture of electric lighting equipment,Manufacture of electrical equipment,Manufacturing,C_27_274,C_27_274_2740
Manufacture of electrical machinery and apparatus n.e.c. (31),C,27.11,C27.11,"Manufacture of electric motors, generators and transformers","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Manufacture of electrical equipment,Manufacturing,C_27_271,C_27_271_2710
Manufacture of electrical machinery and apparatus n.e.c. (31),C,27.12,C27.12,Manufacture of electricity distribution and control apparatus,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Manufacture of electrical equipment,Manufacturing,C_27_271,C_27_271_2710
Manufacture of electrical machinery and apparatus n.e.c. (31),C,26.11,C26.11,Manufacture of electronic components,Manufacture of electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261,C_26_261_2610
"Manufacture of radio, television and communication equipment and apparatus (32)",C,26.11,C26.11,Manufacture of electronic components,Manufacture of electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261,C_26_261_2610
"Manufacture of radio, television and communication equipment and apparatus (32)",C,26.12,C26.12,Manufacture of loaded electronic boards,Manufacture of electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261,C_26_261_2610
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",C,15.2,C15.20,Manufacture of footwear,Manufacture of footwear,Manufacture of footwear,Manufacture of leather and related products,Manufacturing,C_15_152,C_15_152_1520
Manufacture of furniture; manufacturing n.e.c. (36),C,31.02,C31.02,Manufacture of kitchen furniture,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310,C_31_310_3100
Manufacture of furniture; manufacturing n.e.c. (36),C,31.03,C31.03,Manufacture of mattresses,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310,C_31_310_3100
Manufacture of furniture; manufacturing n.e.c. (36),C,31.01,C31.01,Manufacture of office and shop furniture,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310,C_31_310_3100
Manufacture of furniture; manufacturing n.e.c. (36),C,31.09,C31.09,Manufacture of other furniture,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310,C_31_310_3100
Manufacture of furniture; manufacturing n.e.c. (36),C,32.4,C32.40,Manufacture of games and toys,Manufacture of games and toys,Manufacture of games and toys,Other manufacturing,Manufacturing,C_32_324,C_32_324_3240
Manufacture of gas; distribution of gaseous fuels through mains,D,35.22,D35.22,Distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352,D_35_352_3520
Manufacture of gas; distribution of gaseous fuels through mains,D,35.21,D35.21,Manufacture of gas,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352,D_35_352_3520
Manufacture of gas; distribution of gaseous fuels through mains,D,35.23,D35.23,Trade of gas through mains,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352,D_35_352_3520
Manufacture of machinery and equipment n.e.c. (29),C,28.15,C28.15,"Manufacture of bearings, gears, gearing and driving elements","Manufacture of bearings, gears, gearing and driving elements",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2814
Manufacture of machinery and equipment n.e.c. (29),C,28.11,C28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2811
Manufacture of machinery and equipment n.e.c. (29),C,28.12,C28.12,Manufacture of fluid power equipment,Manufacture of fluid power equipment,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2812
Manufacture of machinery and equipment n.e.c. (29),C,28.22,C28.22,Manufacture of lifting and handling equipment,Manufacture of lifting and handling equipment,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2816
Manufacture of other transport equipment (35),C,28.22,C28.22,Manufacture of lifting and handling equipment,Manufacture of lifting and handling equipment,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2816
Manufacture of office machinery and computers (30),C,28.23,C28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment),Manufacture of office machinery and equipment (except computers and peripheral equipment),Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2817
"Manufacture of radio, television and communication equipment and apparatus (32)",C,28.23,C28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment),Manufacture of office machinery and equipment (except computers and peripheral equipment),Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2817
Manufacture of machinery and equipment n.e.c. (29),C,28.25,C28.25,Manufacture of non-domestic cooling and ventilation equipment,Manufacture of other general-purpose machinery,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2819
Manufacture of machinery and equipment n.e.c. (29),C,28.29,C28.29,Manufacture of other general-purpose machinery n.e.c.,Manufacture of other general-purpose machinery,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2819
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",C,28.29,C28.29,Manufacture of other general-purpose machinery n.e.c.,Manufacture of other general-purpose machinery,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2819
Manufacture of machinery and equipment n.e.c. (29),C,28.13,C28.13,Manufacture of other pumps and compressors,"Manufacture of other pumps, compressors, taps and valves",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2813
Manufacture of machinery and equipment n.e.c. (29),C,28.14,C28.14,Manufacture of other taps and valves,"Manufacture of other pumps, compressors, taps and valves",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2813
Manufacture of machinery and equipment n.e.c. (29),C,28.21,C28.21,"Manufacture of ovens, furnaces and furnace burners","Manufacture of ovens, furnaces and furnace burners",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2815
Manufacture of machinery and equipment n.e.c. (29),C,28.24,C28.24,Manufacture of power-driven hand tools,Manufacture of power-driven hand tools,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281,C_28_281_2818
Manufacture of glass and glass products,C,23.19,C23.19,"Manufacture and processing of other glass, including technical glassware",Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Manufacture of glass and glass products,C,23.11,C23.11,Manufacture of flat glass,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Manufacture of glass and glass products,C,23.14,C23.14,Manufacture of glass fibres,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Manufacture of glass and glass products,C,23.13,C23.13,Manufacture of hollow glass,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Manufacture of glass and glass products,C,23.12,C23.12,Shaping and processing of flat glass,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Re-processing of secondary glass into new glass,C,23.19,C23.19,"Manufacture and processing of other glass, including technical glassware",Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Re-processing of secondary glass into new glass,C,23.11,C23.11,Manufacture of flat glass,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Re-processing of secondary glass into new glass,C,23.14,C23.14,Manufacture of glass fibres,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Re-processing of secondary glass into new glass,C,23.13,C23.13,Manufacture of hollow glass,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Re-processing of secondary glass into new glass,C,23.12,C23.12,Shaping and processing of flat glass,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231,C_23_231_2310
Processed rice,C,10.61,C10.61,Manufacture of grain mill products,Manufacture of grain mill products,"Manufacture of grain mill products, starches and starch products",Manufacture of food products,Manufacturing,C_10_106,C_10_106_1061
Processing of Food products nec,C,10.61,C10.61,Manufacture of grain mill products,Manufacture of grain mill products,"Manufacture of grain mill products, starches and starch products",Manufacture of food products,Manufacturing,C_10_106,C_10_106_1061
Processed rice,C,10.62,C10.62,Manufacture of starches and starch products,Manufacture of starches and starch products,"Manufacture of grain mill products, starches and starch products",Manufacture of food products,Manufacturing,C_10_106,C_10_106_1062
Processing of Food products nec,C,10.62,C10.62,Manufacture of starches and starch products,Manufacture of starches and starch products,"Manufacture of grain mill products, starches and starch products",Manufacture of food products,Manufacturing,C_10_106,C_10_106_1062
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",C,26.6,C26.60,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","Manufacture of irradiation, electromedical and electrotherapeutic equipment","Manufacture of irradiation, electromedical and electrotherapeutic equipment","Manufacture of computer, electronic and optical products",Manufacturing,C_26_266,C_26_266_2660
Manufacture of furniture; manufacturing n.e.c. (36),C,32.13,C32.13,Manufacture of imitation jewellery and related articles,Manufacture of imitation jewellery and related articles,"Manufacture of jewellery, bijouterie and related articles",Other manufacturing,Manufacturing,C_32_321,C_32_321_3212
Manufacture of furniture; manufacturing n.e.c. (36),C,32.12,C32.12,Manufacture of jewellery and related articles,Manufacture of jewellery and related articles,"Manufacture of jewellery, bijouterie and related articles",Other manufacturing,Manufacturing,C_32_321,C_32_321_3211
Manufacture of furniture; manufacturing n.e.c. (36),C,32.11,C32.11,Striking of coins,Manufacture of jewellery and related articles,"Manufacture of jewellery, bijouterie and related articles",Other manufacturing,Manufacturing,C_32_321,C_32_321_3211
Manufacture of textiles (17),C,14.31,C14.31,Manufacture of knitted and crocheted hosiery,Manufacture of knitted and crocheted apparel,Manufacture of knitted and crocheted apparel,Manufacture of wearing apparel,Manufacturing,C_14_143,C_14_143_1430
Manufacture of textiles (17),C,14.39,C14.39,Manufacture of other knitted and crocheted apparel,Manufacture of knitted and crocheted apparel,Manufacture of knitted and crocheted apparel,Manufacture of wearing apparel,Manufacturing,C_14_143,C_14_143_1430
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",C,26.8,C26.80,Manufacture of magnetic and optical media,Manufacture of magnetic and optical media,Manufacture of magnetic and optical media,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_268,C_26_268_2680
Chemicals nec,C,20.6,C20.60,Manufacture of man-made fibres,Manufacture of man-made fibres,Manufacture of man-made fibres,Manufacture of chemicals and chemical products,Manufacturing,C_20_203,C_20_203_2030
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",C,26.51,C26.51,"Manufacture of instruments and appliances for measuring, testing and navigation","Manufacture of measuring, testing, navigating and control equipment","Manufacture of measuring, testing, navigating and control equipment; watches and clocks","Manufacture of computer, electronic and optical products",Manufacturing,C_26_265,C_26_265_2651
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",C,26.52,C26.52,Manufacture of watches and clocks,Manufacture of watches and clocks,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks","Manufacture of computer, electronic and optical products",Manufacturing,C_26_265,C_26_265_2652
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",C,32.5,C32.50,Manufacture of medical and dental instruments and supplies,Manufacture of medical and dental instruments and supplies,Manufacture of medical and dental instruments and supplies,Other manufacturing,Manufacturing,C_32_325,C_32_325_3250
Manufacture of other transport equipment (35),C,30.4,C30.40,Manufacture of military fighting vehicles,Manufacture of military fighting vehicles,Manufacture of military fighting vehicles,Manufacture of other transport equipment,Manufacturing,C_30_304,C_30_304_3040
"Manufacture of motor vehicles, trailers and semi-trailers (34)",C,29.1,C29.10,Manufacture of motor vehicles,Manufacture of motor vehicles,Manufacture of motor vehicles,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacturing,C_29_291,C_29_291_2910
Manufacture of furniture; manufacturing n.e.c. (36),C,32.2,C32.20,Manufacture of musical instruments,Manufacture of musical instruments,Manufacture of musical instruments,Other manufacturing,Manufacturing,C_32_322,C_32_322_3220
Manufacture of other non-metallic mineral products n.e.c.,C,23.7,C23.70,"Cutting, shaping and finishing of stone","Cutting, shaping and finishing of stone",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2396
Manufacture of other non-metallic mineral products n.e.c.,C,23.61,C23.61,Manufacture of concrete products for construction purposes,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2395
Manufacture of other non-metallic mineral products n.e.c.,C,23.65,C23.65,Manufacture of fibre cement,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2395
Manufacture of other non-metallic mineral products n.e.c.,C,23.64,C23.64,Manufacture of mortars,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2395
Manufacture of other non-metallic mineral products n.e.c.,C,23.69,C23.69,"Manufacture of other articles of concrete, plaster and cement","Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2395
Manufacture of other non-metallic mineral products n.e.c.,C,23.62,C23.62,Manufacture of plaster products for construction purposes,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2395
Manufacture of other non-metallic mineral products n.e.c.,C,23.63,C23.63,Manufacture of ready-mixed concrete,"Manufacture of articles of concrete, cement and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2395
"Manufacture of cement, lime and plaster",C,23.51,C23.51,Manufacture of cement,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2394
"Manufacture of cement, lime and plaster",C,23.52,C23.52,Manufacture of lime and plaster,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2394
Re-processing of ash into clinker,C,23.51,C23.51,Manufacture of cement,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2394
Re-processing of ash into clinker,C,23.52,C23.52,Manufacture of lime and plaster,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2394
"Manufacture of bricks, tiles and construction products, in baked clay",C,23.32,C23.32,"Manufacture of bricks, tiles and construction products, in baked clay",Manufacture of clay building materials,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2392
Manufacture of ceramic goods,C,23.31,C23.31,Manufacture of ceramic tiles and flags,Manufacture of clay building materials,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2392
Manufacture of other non-metallic mineral products n.e.c.,C,23.99,C23.99,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2399
Manufacture of other non-metallic mineral products n.e.c.,C,23.91,C23.91,Production of abrasive products,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2399
Manufacture of ceramic goods,C,23.41,C23.41,Manufacture of ceramic household and ornamental articles,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2393
Manufacture of ceramic goods,C,23.43,C23.43,Manufacture of ceramic insulators and insulating fittings,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2393
Manufacture of ceramic goods,C,23.42,C23.42,Manufacture of ceramic sanitary fixtures,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2393
